Date,Open,High,Low,Close,Volume,Adj Close
"Jun 6, 2026","61,033.83","61,420.05","59,496.63","61,405.00","65,451,503,616","61,405.00"
"Jun 5, 2026","63,807.69","63,901.52","59,108.92","60,922.67","71,465,606,706","60,922.67"
"Jun 4, 2026","64,020.07","64,664.45","61,335.75","63,801.57","63,800,151,780","63,801.57"
"Jun 3, 2026","66,694.01","67,402.93","64,009.68","64,014.37","47,411,556,213","64,014.37"
"Jun 2, 2026","71,321.03","71,334.95","66,127.27","66,703.66","54,990,073,882","66,703.66"
"Jun 1, 2026","73,580.21","73,969.57","70,599.51","71,319.77","43,378,836,121","71,319.77"
"May 31, 2026","73,753.75","74,153.50","73,315.02","73,579.69","17,445,435,650","73,579.69"
"May 30, 2026","73,370.85","74,020.76","73,125.23","73,754.84","19,563,589,191","73,754.84"
"May 29, 2026","73,537.03","74,218.56","72,435.63","73,372.52","34,457,929,250","73,372.52"
"May 28, 2026","74,339.57","74,460.13","72,493.41","73,536.55","40,148,145,327","73,536.55"
"May 27, 2026","75,825.30","76,014.30","74,136.50","74,344.70","33,802,172,927","74,344.70"
"May 26, 2026","77,280.13","77,990.87","75,569.47","75,825.73","35,999,475,458","75,825.73"
"May 25, 2026","76,981.13","77,804.92","76,833.04","77,279.93","19,808,387,601","77,279.93"
"May 24, 2026","76,670.66","77,372.54","76,019.89","76,981.13","20,572,738,918","76,981.13"
"May 23, 2026","75,488.31","77,288.12","74,255.23","76,673.37","29,973,220,002","76,673.37"
"May 22, 2026","77,538.12","77,819.45","75,323.88","75,488.24","27,859,040,109","75,488.24"
"May 21, 2026","77,462.51","78,100.56","76,655.44","77,539.17","27,141,485,404","77,539.17"
"May 20, 2026","76,749.45","77,775.57","76,463.65","77,457.77","26,668,360,936","77,457.77"
"May 19, 2026","76,954.75","77,346.87","76,082.37","76,750.91","26,031,898,332","76,750.91"
"May 18, 2026","77,426.34","77,749.32","76,029.23","76,954.17","41,520,471,808","76,954.17"
"May 17, 2026","78,133.59","78,539.40","76,783.41","77,429.35","20,900,166,465","77,429.35"
"May 16, 2026","79,066.00","79,173.50","77,630.73","78,131.44","25,895,799,905","78,131.44"
"May 15, 2026","81,046.87","81,634.84","78,635.37","79,065.68","38,183,347,368","79,065.68"
"May 14, 2026","79,276.95","82,005.96","78,909.68","81,051.25","43,731,663,431","81,051.25"
"May 13, 2026","80,476.79","81,276.67","78,725.51","79,277.12","34,075,428,359","79,277.12"
"May 12, 2026","81,725.35","81,753.03","79,832.10","80,477.49","32,186,688,600","80,477.49"
"May 11, 2026","82,139.05","82,326.23","80,451.42","81,728.30","32,409,774,919","81,728.30"
"May 10, 2026","80,665.61","82,430.17","80,274.13","82,138.93","26,965,971,077","82,138.93"
