Date,Open,High,Low,Close,Volume,Adj Close
"Jul 2, 2026",22.83,23.17,19.39,20.04,"31,074,900",20.04
"Jul 1, 2026",23.41,23.48,21.69,22.84,"26,596,800",22.84
"Jun 30, 2026",24.42,24.75,23.70,24.50,"16,524,100",24.50
"Jun 29, 2026",26.34,26.88,23.29,24.83,"20,269,500",24.83
"Jun 26, 2026",24.94,26.13,23.80,25.94,"44,844,700",25.94
"Jun 25, 2026",27.51,28.08,24.42,25.68,"22,187,600",25.68
"Jun 24, 2026",27.54,27.54,24.95,26.22,"22,885,700",26.22
"Jun 23, 2026",26.11,28.96,25.65,27.64,"18,053,600",27.64
"Jun 22, 2026",29.22,30.14,27.87,28.14,"18,875,900",28.14
"Jun 18, 2026",27.80,30.01,26.56,29.18,"39,415,700",29.18
"Jun 17, 2026",26.23,28.17,26.12,26.35,"23,494,000",26.35
"Jun 16, 2026",26.00,27.39,25.93,26.21,"19,040,500",26.21
"Jun 15, 2026",25.76,26.89,25.64,26.03,"23,514,500",26.03
"Jun 12, 2026",23.30,25.36,22.90,24.50,"26,160,900",24.50
"Jun 11, 2026",20.78,22.85,20.69,22.63,"22,258,200",22.63
"Jun 10, 2026",22.69,23.59,20.93,21.02,"19,874,000",21.02
"Jun 9, 2026",25.00,25.58,21.81,23.03,"23,981,700",23.03
"Jun 8, 2026",23.32,24.51,22.75,24.29,"19,407,900",24.29
"Jun 5, 2026",24.50,24.58,21.22,22.45,"25,866,900",22.45
"Jun 4, 2026",25.01,26.33,24.17,25.55,"25,965,300",25.55
"Jun 3, 2026",27.17,28.62,25.81,26.24,"37,902,600",26.24
"Jun 2, 2026",24.73,26.60,24.70,26.29,"29,972,500",26.29
"Jun 1, 2026",23.10,24.86,22.30,24.01,"23,373,900",24.01
"May 29, 2026",24.36,24.38,22.57,23.65,"17,095,500",23.65
"May 28, 2026",24.83,25.15,23.93,24.59,"19,156,700",24.59
"May 27, 2026",23.12,25.56,22.17,25.16,"34,659,600",25.16
"May 26, 2026",23.26,24.65,22.53,23.02,"25,430,800",23.02
"May 22, 2026",21.30,22.35,20.96,21.97,"19,436,000",21.97
"May 21, 2026",19.82,21.56,19.70,21.52,"26,727,300",21.52
"May 20, 2026",19.30,20.44,19.06,19.48,"21,509,700",19.48
"May 19, 2026",18.80,19.13,17.62,18.80,"19,398,500",18.80
"May 18, 2026",20.02,20.06,17.85,19.12,"23,021,400",19.12
"May 15, 2026",21.28,21.32,20.04,20.33,"24,257,000",20.33
"May 14, 2026",21.51,22.52,20.67,22.29,"27,530,700",22.29
"May 13, 2026",20.50,21.61,19.70,21.24,"30,507,900",21.24
"May 12, 2026",19.75,20.56,18.65,20.06,"23,458,900",20.06
"May 11, 2026",19.92,21.49,19.14,20.28,"28,416,100",20.28
"May 8, 2026",21.34,21.64,19.80,20.55,"24,464,300",20.55
"May 7, 2026",21.69,21.82,19.67,20.68,"25,929,800",20.68
"May 6, 2026",22.31,22.97,21.33,21.91,"43,299,100",21.91
"May 5, 2026",18.31,22.17,17.65,22.10,"63,658,800",22.10
"May 4, 2026",17.12,18.21,17.08,17.89,"23,579,100",17.89
"May 1, 2026",17.94,18.43,16.95,17.04,"17,324,100",17.04
"Apr 30, 2026",17.49,18.13,17.20,17.74,"16,837,600",17.74
"Apr 29, 2026",17.44,17.50,16.60,16.92,"15,941,500",16.92
"Apr 28, 2026",17.60,17.60,16.48,17.26,"21,490,900",17.26
"Apr 27, 2026",18.27,18.99,17.83,18.16,"21,513,000",18.16
"Apr 24, 2026",19.08,19.61,17.96,18.20,"28,975,100",18.20
"Apr 23, 2026",19.16,20.24,18.37,18.69,"27,568,900",18.69
"Apr 22, 2026",18.80,19.84,18.52,19.44,"22,616,800",19.44
"Apr 21, 2026",19.56,19.64,17.77,18.04,"25,547,700",18.04
"Apr 20, 2026",19.00,19.88,18.66,19.29,"25,085,900",19.29
"Apr 17, 2026",17.97,19.38,16.99,19.37,"35,433,700",19.37
"Apr 16, 2026",18.20,18.25,16.84,17.34,"21,047,500",17.34
"Apr 15, 2026",18.20,18.39,17.43,18.00,"22,117,300",18.00
"Apr 14, 2026",18.42,19.33,18.20,18.45,"29,273,700",18.45
"Apr 13, 2026",16.02,17.81,15.86,17.76,"25,083,100",17.76
"Apr 10, 2026",16.45,17.28,16.40,16.53,"23,205,100",16.53
"Apr 9, 2026",15.29,16.97,15.26,16.36,"30,843,900",16.36
"Apr 8, 2026",15.25,15.58,14.35,15.42,"35,970,400",15.42
"Apr 7, 2026",13.15,14.03,12.69,14.01,"25,749,600",14.01
"Apr 6, 2026",12.78,13.69,12.78,13.35,"18,144,200",13.35
"Apr 2, 2026",12.00,13.06,11.90,12.82,"18,962,700",12.82
"Apr 1, 2026",13.16,13.42,12.60,12.64,"21,937,300",12.64
"Mar 31, 2026",12.34,12.87,11.72,12.87,"26,824,700",12.87
"Mar 30, 2026",14.03,14.06,11.80,12.02,"32,268,600",12.02
"Mar 27, 2026",14.04,14.26,13.44,13.74,"19,249,100",13.74
"Mar 26, 2026",15.40,15.48,14.10,14.35,"23,575,400",14.35
"Mar 25, 2026",16.08,16.67,15.47,15.88,"40,675,400",15.88
"Mar 24, 2026",14.84,15.26,14.27,14.88,"19,854,300",14.88
"Mar 23, 2026",14.10,15.48,14.10,14.89,"23,942,100",14.89
"Mar 20, 2026",14.51,14.90,13.51,14.01,"25,392,100",14.01
"Mar 19, 2026",14.26,14.77,13.86,14.64,"18,881,600",14.64
"Mar 18, 2026",14.97,15.19,14.61,14.67,"15,936,800",14.67
"Mar 17, 2026",15.10,15.34,14.75,15.09,"14,615,300",15.09
"Mar 16, 2026",14.77,15.38,14.67,15.14,"21,356,900",15.14
"Mar 13, 2026",14.02,15.17,13.95,14.08,"37,028,500",14.08
"Mar 12, 2026",13.64,13.85,13.03,13.71,"25,128,400",13.71
"Mar 11, 2026",14.23,14.95,13.72,14.11,"26,921,800",14.11
"Mar 10, 2026",14.36,14.63,13.76,13.96,"22,011,600",13.96
"Mar 9, 2026",13.55,14.41,13.05,14.31,"24,012,900",14.31
"Mar 6, 2026",14.60,14.76,13.54,13.62,"27,525,100",13.62
"Mar 5, 2026",15.64,16.04,14.46,15.15,"24,119,800",15.15
"Mar 4, 2026",15.33,16.28,15.11,16.04,"22,140,500",16.04
"Mar 3, 2026",14.98,15.30,14.30,14.71,"26,493,500",14.71
"Mar 2, 2026",15.10,16.23,14.93,15.76,"22,702,500",15.76
"Feb 27, 2026",15.83,16.26,14.98,15.60,"22,915,300",15.60
"Feb 26, 2026",16.45,16.86,15.72,16.48,"25,597,300",16.48
"Feb 25, 2026",17.35,17.82,16.40,16.61,"30,538,800",16.61
"Feb 24, 2026",15.56,17.56,14.63,17.12,"51,315,100",17.12
"Feb 23, 2026",14.24,15.35,14.07,15.22,"23,312,600",15.22
"Feb 20, 2026",15.70,16.18,14.39,14.65,"27,010,900",14.65
"Feb 19, 2026",15.13,15.85,14.66,15.80,"21,476,000",15.80
"Feb 18, 2026",15.45,16.25,15.10,15.42,"20,153,600",15.42
"Feb 17, 2026",15.98,16.17,14.95,15.64,"30,552,300",15.64
"Feb 13, 2026",16.39,17.51,15.77,16.42,"37,914,300",16.42
"Feb 12, 2026",16.38,16.69,15.22,16.10,"34,841,800",16.10
"Feb 11, 2026",17.17,17.61,15.65,16.28,"31,151,100",16.28
"Feb 10, 2026",16.74,17.96,16.65,17.10,"40,514,000",17.10
"Feb 9, 2026",15.39,17.01,15.00,16.76,"36,705,300",16.76
"Feb 6, 2026",13.66,14.86,13.45,14.73,"31,185,300",14.73
"Feb 5, 2026",13.75,14.67,12.64,12.70,"43,916,600",12.70
"Feb 4, 2026",15.55,15.73,12.74,14.25,"53,285,300",14.25
"Feb 3, 2026",16.14,16.80,14.93,16.26,"39,813,600",16.26
"Feb 2, 2026",15.44,16.55,15.23,15.81,"24,288,600",15.81
"Jan 30, 2026",17.22,17.46,15.61,15.96,"28,279,800",15.96
"Jan 29, 2026",18.90,18.91,16.72,17.70,"33,488,400",17.70
"Jan 28, 2026",18.97,19.31,18.17,18.97,"33,139,400",18.97
"Jan 27, 2026",16.65,18.85,16.45,18.75,"39,892,400",18.75
"Jan 26, 2026",17.57,17.57,16.21,16.49,"29,490,200",16.49
"Jan 23, 2026",17.35,18.67,16.36,17.57,"41,658,800",17.57
"Jan 22, 2026",17.88,18.42,17.11,17.39,"22,162,700",17.39
"Jan 21, 2026",18.23,19.50,16.28,17.72,"46,175,100",17.72
"Jan 20, 2026",17.68,18.87,17.22,17.92,"28,362,300",17.92
"Jan 16, 2026",17.51,19.70,17.21,18.80,"45,615,100",18.80
"Jan 15, 2026",18.24,18.74,17.06,17.52,"32,049,000",17.52
"Jan 14, 2026",18.28,19.00,17.53,18.13,"27,701,400",18.13
"Jan 13, 2026",18.32,19.05,17.66,18.25,"32,087,900",18.25
