Date,Open,High,Low,Close,Volume,Adj Close
"Jun 5, 2026",405.77,412.90,386.28,394.39,"10,948,500",394.39
"Jun 4, 2026",401.87,430.50,399.00,422.05,"12,297,400",422.05
"Jun 3, 2026",433.79,436.00,407.00,421.08,"14,231,100",421.08
"Jun 2, 2026",466.11,469.19,433.43,435.31,"16,018,500",435.31
"Jun 1, 2026",426.15,469.47,426.15,465.96,"20,849,200",465.96
"May 29, 2026",418.00,429.15,402.27,420.91,"41,833,000",420.91
"May 28, 2026",317.03,327.73,311.52,317.05,"26,611,300",317.05
"May 27, 2026",307.48,312.14,298.57,305.32,"8,262,400",305.32
"May 26, 2026",300.25,308.64,298.97,305.08,"10,305,700",305.08
"May 22, 2026",268.10,298.32,265.21,295.19,"15,291,500",295.19
"May 21, 2026",242.96,254.38,240.27,252.80,"5,075,000",252.80
"May 20, 2026",239.47,246.93,237.19,242.93,"4,332,900",242.93
"May 19, 2026",234.25,239.75,227.27,235.26,"4,082,700",235.26
"May 18, 2026",244.60,244.95,232.20,238.03,"5,132,600",238.03
"May 15, 2026",240.41,246.86,236.79,241.99,"4,833,100",241.99
"May 14, 2026",248.85,260.54,240.81,247.89,"6,241,900",247.89
"May 13, 2026",244.60,247.00,236.80,243.87,"5,008,500",243.87
"May 12, 2026",242.51,242.51,228.50,238.94,"7,150,800",238.94
"May 11, 2026",253.60,255.45,242.00,247.04,"11,517,000",247.04
"May 8, 2026",233.59,263.99,233.59,260.46,"12,168,100",260.46
"May 7, 2026",235.26,237.75,228.00,230.27,"4,848,300",230.27
"May 6, 2026",220.80,239.45,219.60,238.80,"9,187,200",238.80
"May 5, 2026",215.02,217.40,210.94,216.32,"4,360,800",216.32
"May 4, 2026",210.85,214.98,205.70,211.64,"3,842,400",211.64
"May 1, 2026",208.53,212.77,206.44,210.17,"3,010,600",210.17
"Apr 30, 2026",208.50,209.15,200.84,208.95,"5,635,800",208.95
"Apr 29, 2026",206.06,207.93,203.25,205.66,"3,635,700",205.66
"Apr 28, 2026",209.97,210.51,201.56,205.93,"4,437,700",205.93
"Apr 27, 2026",217.78,221.50,212.76,215.97,"5,821,000",215.97
"Apr 24, 2026",213.99,219.00,209.50,216.09,"4,621,400",216.09
"Apr 23, 2026",214.49,219.26,210.68,212.14,"4,421,500",212.14
"Apr 22, 2026",215.01,217.39,209.50,214.65,"5,482,100",214.65
"Apr 21, 2026",205.85,214.33,205.35,212.36,"9,078,200",212.36
"Apr 20, 2026",196.55,205.78,196.54,204.24,"7,155,800",203.61
"Apr 17, 2026",192.83,197.34,191.75,196.55,"6,311,200",195.94
"Apr 16, 2026",179.57,193.80,178.50,193.09,"11,474,700",192.49
"Apr 15, 2026",182.94,182.99,177.00,177.28,"7,793,300",176.73
"Apr 14, 2026",185.55,186.79,180.10,184.51,"6,256,400",183.94
"Apr 13, 2026",179.00,191.37,177.50,189.79,"10,506,700",189.20
"Apr 10, 2026",183.23,184.00,177.04,177.80,"4,279,700",177.25
"Apr 9, 2026",186.97,187.80,179.69,181.46,"4,500,900",180.90
"Apr 8, 2026",185.76,189.75,182.67,185.47,"7,212,000",184.90
"Apr 7, 2026",172.24,178.84,172.22,177.69,"5,753,000",177.14
"Apr 6, 2026",175.83,176.50,172.79,173.18,"3,925,400",172.65
"Apr 2, 2026",166.99,174.37,166.50,174.37,"5,217,100",173.83
"Apr 1, 2026",166.98,171.33,164.76,169.38,"7,311,100",168.86
"Mar 31, 2026",164.29,167.99,155.37,164.13,"13,713,700",163.62
"Mar 30, 2026",172.77,174.00,162.48,164.66,"10,135,300",164.15
"Mar 27, 2026",175.13,176.29,170.35,171.81,"8,011,500",171.28
"Mar 26, 2026",182.71,186.39,175.55,175.82,"11,061,300",175.28
"Mar 25, 2026",177.76,184.86,177.62,184.01,"11,330,800",183.44
"Mar 24, 2026",163.62,178.31,163.37,176.91,"15,886,500",176.36
"Mar 23, 2026",159.24,165.42,158.63,164.59,"10,721,300",164.08
"Mar 20, 2026",163.50,169.90,157.67,157.67,"23,135,900",157.18
