Date,Open,High,Low,Close,Volume,Adj Close
"Jun 5, 2026",110.80,112.89,106.05,109.03,"1,042,400",109.03
"Jun 4, 2026",110.00,112.90,106.76,109.15,"1,086,200",109.15
"Jun 3, 2026",109.67,112.21,104.61,107.40,"1,878,600",107.40
"Jun 2, 2026",116.50,116.50,108.62,109.95,"1,724,000",109.95
"Jun 1, 2026",115.00,120.30,113.70,117.97,"1,906,900",117.97
"May 29, 2026",108.50,114.33,106.51,111.36,"1,305,300",111.36
"May 28, 2026",107.17,111.60,105.75,108.67,"639,600",108.67
"May 27, 2026",105.14,110.10,104.70,107.82,"805,900",107.82
"May 26, 2026",107.22,109.50,103.68,106.48,"1,164,100",106.48
"May 22, 2026",106.14,109.17,105.13,106.61,"968,300",106.61
"May 21, 2026",105.88,107.36,104.52,105.64,"1,091,600",105.64
"May 20, 2026",111.00,111.53,106.64,106.82,"1,538,500",106.82
"May 19, 2026",117.20,118.75,111.89,114.10,"1,817,200",114.10
"May 18, 2026",111.49,115.76,110.47,113.24,"1,585,800",113.24
"May 15, 2026",109.34,112.88,107.81,112.06,"1,496,000",112.06
"May 14, 2026",104.78,112.21,104.77,109.15,"1,587,000",109.15
"May 13, 2026",105.00,105.61,100.88,104.98,"1,445,500",104.98
"May 12, 2026",104.78,107.93,101.83,106.01,"1,562,100",106.01
"May 11, 2026",107.82,109.47,104.97,105.15,"1,486,000",105.15
"May 8, 2026",112.73,112.73,104.82,107.99,"1,939,000",107.99
"May 7, 2026",105.53,115.50,105.53,113.61,"2,617,000",113.61
"May 6, 2026",104.03,106.69,102.09,105.02,"2,425,700",105.02
"May 5, 2026",108.39,108.88,98.50,104.03,"5,997,900",104.03
"May 4, 2026",110.84,115.93,110.23,110.23,"5,045,700",110.23
"May 1, 2026",113.50,114.78,110.22,111.25,"1,908,300",111.25
"Apr 30, 2026",105.91,110.75,104.43,110.10,"1,490,600",110.10
"Apr 29, 2026",110.00,110.00,103.33,106.82,"1,488,900",106.82
"Apr 28, 2026",102.18,107.53,102.18,106.24,"1,485,100",106.24
"Apr 27, 2026",102.45,106.21,102.00,103.30,"1,321,900",103.30
"Apr 24, 2026",100.42,104.00,98.60,103.45,"1,589,400",103.45
"Apr 23, 2026",103.84,104.49,98.30,100.29,"1,496,200",100.29
"Apr 22, 2026",102.64,105.62,101.43,105.52,"1,382,100",105.52
"Apr 21, 2026",104.68,107.34,102.51,102.63,"1,646,100",102.63
"Apr 20, 2026",100.56,104.96,99.89,104.84,"1,693,300",104.84
"Apr 17, 2026",105.89,107.28,99.81,100.51,"2,127,800",100.51
"Apr 16, 2026",101.02,104.33,99.58,103.45,"2,122,100",103.45
"Apr 15, 2026",92.60,99.15,92.60,98.78,"2,013,200",98.78
"Apr 14, 2026",95.00,96.68,90.98,91.46,"1,751,000",91.46
"Apr 13, 2026",90.14,93.84,88.91,93.53,"1,587,000",93.53
"Apr 10, 2026",91.15,94.18,89.32,90.03,"1,826,800",90.03
"Apr 9, 2026",91.57,93.34,87.89,90.53,"2,537,900",90.53
"Apr 8, 2026",100.96,103.00,90.11,91.06,"3,128,200",91.06
"Apr 7, 2026",98.94,100.38,94.21,96.29,"1,142,600",96.29
"Apr 6, 2026",95.64,100.88,95.64,99.38,"1,254,100",99.38
"Apr 2, 2026",95.56,98.54,94.10,96.54,"1,156,300",96.54
"Apr 1, 2026",98.76,100.43,95.85,96.19,"1,542,700",96.19
"Mar 31, 2026",95.38,102.50,95.38,98.57,"1,803,600",98.57
"Mar 30, 2026",94.57,97.53,92.90,94.12,"1,441,700",94.12
"Mar 27, 2026",96.80,97.70,91.61,95.35,"1,857,500",95.35
"Mar 26, 2026",97.75,100.43,97.64,98.11,"1,242,600",98.11
"Mar 25, 2026",99.89,101.85,96.81,99.12,"1,137,400",99.12
"Mar 24, 2026",99.25,99.80,96.41,97.68,"1,305,000",97.68
"Mar 23, 2026",99.17,100.94,98.41,99.75,"1,163,600",99.75
"Mar 20, 2026",98.15,100.09,96.52,98.05,"2,028,200",98.05
"Mar 19, 2026",101.19,103.73,99.20,99.61,"1,310,700",99.61
"Mar 18, 2026",101.10,104.05,99.76,100.05,"1,386,600",100.05
"Mar 17, 2026",101.81,108.17,101.50,104.36,"2,188,300",104.36
"Mar 16, 2026",98.47,103.99,98.05,101.95,"2,867,600",101.95
"Mar 13, 2026",95.32,98.44,93.93,98.39,"2,395,800",98.39
"Mar 12, 2026",98.49,99.01,94.04,94.92,"2,167,700",94.92
"Mar 11, 2026",95.60,98.98,95.60,98.81,"2,110,900",98.81
"Mar 10, 2026",100.42,101.76,94.95,95.18,"2,934,800",95.18
"Mar 9, 2026",100.82,104.38,98.59,100.42,"3,049,000",100.42
"Mar 6, 2026",100.17,102.11,98.93,101.92,"2,011,500",101.92
"Mar 5, 2026",98.60,104.11,98.15,101.54,"4,567,100",101.54
"Mar 4, 2026",100.87,105.40,95.95,96.17,"3,397,800",96.17
"Mar 3, 2026",99.70,102.93,96.29,101.61,"3,135,400",101.61
"Mar 2, 2026",98.40,100.89,94.29,100.82,"4,176,900",100.82
"Feb 27, 2026",92.26,101.45,91.99,101.00,"20,124,200",101.00
"Feb 26, 2026",112.54,119.14,111.49,117.45,"8,048,900",117.45
"Feb 25, 2026",109.58,112.50,108.39,111.65,"2,151,600",111.65
"Feb 24, 2026",106.12,110.10,105.01,109.43,"1,798,800",109.43
"Feb 23, 2026",112.35,112.35,104.51,106.14,"2,188,900",106.14
"Feb 20, 2026",111.04,114.50,109.31,112.94,"1,831,500",112.94
"Feb 19, 2026",112.97,114.04,110.55,111.11,"1,317,200",111.11
"Feb 18, 2026",112.01,116.17,107.85,112.46,"2,698,900",112.46
"Feb 17, 2026",113.06,113.85,107.78,112.08,"2,113,800",112.08
"Feb 13, 2026",113.64,115.99,110.19,112.57,"1,914,000",112.57
"Feb 12, 2026",110.63,113.25,107.61,112.05,"3,037,000",112.05
"Feb 11, 2026",116.10,117.30,107.16,109.30,"4,536,400",109.30
"Feb 10, 2026",121.29,125.88,118.90,120.70,"2,032,400",120.70
"Feb 9, 2026",119.25,119.76,114.02,118.91,"2,164,500",118.91
"Feb 6, 2026",116.17,119.64,113.60,119.40,"2,292,700",119.40
"Feb 5, 2026",117.95,125.00,113.77,114.34,"3,720,200",114.34
"Feb 4, 2026",119.53,123.80,112.41,116.90,"5,492,000",116.90
"Feb 3, 2026",129.11,129.50,119.61,120.28,"5,020,800",120.28
"Feb 2, 2026",133.88,136.54,130.22,131.93,"1,978,300",131.93
