Date,Open,High,Low,Close,Volume,Adj Close
"Jun 5, 2026",300.00,302.30,281.07,284.84,"12,477,700",284.84
"Jun 4, 2026",307.43,310.44,300.18,301.77,"9,608,100",301.77
"Jun 3, 2026",318.30,318.30,302.53,305.63,"13,926,600",305.63
"Jun 2, 2026",313.75,332.46,310.11,329.23,"17,210,700",329.23
"Jun 1, 2026",322.55,327.98,308.00,320.42,"32,880,200",320.42
"May 29, 2026",277.30,301.00,273.33,297.80,"28,481,000",297.80
"May 28, 2026",261.00,268.89,257.00,264.22,"12,432,900",264.22
"May 27, 2026",250.46,257.62,250.46,255.20,"9,275,500",255.20
"May 26, 2026",254.55,254.55,245.45,250.69,"9,256,100",250.69
"May 22, 2026",262.05,264.38,253.39,253.84,"19,072,900",253.84
"May 21, 2026",232.58,253.63,230.94,252.97,"25,707,800",252.97
"May 20, 2026",221.05,225.00,216.78,225.00,"4,873,400",225.00
"May 19, 2026",224.50,227.35,221.92,222.33,"5,937,800",222.33
"May 18, 2026",218.55,223.33,217.75,222.75,"5,946,400",222.75
"May 15, 2026",218.20,220.91,217.62,219.30,"6,154,500",219.30
"May 14, 2026",215.55,220.96,215.00,218.37,"5,906,200",218.37
"May 13, 2026",218.27,218.31,212.34,214.64,"8,361,200",214.64
"May 12, 2026",224.43,224.43,219.22,219.22,"6,045,200",219.22
"May 11, 2026",228.66,230.23,222.55,223.55,"6,677,200",223.55
"May 8, 2026",229.73,230.71,224.83,229.76,"5,332,800",229.76
"May 7, 2026",227.50,231.82,227.41,231.31,"5,485,500",229.62
"May 6, 2026",228.75,229.00,224.38,225.74,"7,673,200",224.09
"May 5, 2026",230.16,231.00,227.15,229.03,"4,221,900",227.36
"May 4, 2026",232.00,234.09,228.62,229.48,"4,003,100",227.80
"May 1, 2026",234.55,235.95,231.75,232.20,"3,582,100",230.50
"Apr 30, 2026",226.53,231.60,224.90,230.98,"6,283,300",229.29
"Apr 29, 2026",230.34,231.48,226.82,227.10,"6,443,700",225.44
"Apr 28, 2026",230.50,233.56,228.46,233.04,"5,162,900",231.34
"Apr 27, 2026",229.95,231.32,227.12,228.05,"8,060,700",226.38
"Apr 24, 2026",231.93,232.80,225.00,231.98,"9,816,900",230.29
"Apr 23, 2026",232.27,232.91,221.73,231.08,"22,297,800",229.39
"Apr 22, 2026",254.51,257.54,247.21,251.86,"12,190,200",250.02
"Apr 21, 2026",254.00,258.09,251.87,255.68,"5,584,900",253.81
"Apr 20, 2026",255.00,258.50,252.56,253.71,"5,157,700",251.86
"Apr 17, 2026",254.67,255.65,251.04,253.47,"5,671,500",251.62
"Apr 16, 2026",248.75,251.22,246.13,251.00,"4,817,500",249.17
"Apr 15, 2026",242.25,246.06,240.99,244.80,"3,879,500",243.01
"Apr 14, 2026",238.75,241.54,238.12,240.27,"3,777,300",238.51
"Apr 13, 2026",233.63,238.07,231.70,237.82,"5,349,600",236.08
"Apr 10, 2026",239.19,239.27,230.51,230.76,"5,869,400",229.07
"Apr 9, 2026",240.88,241.74,233.76,237.18,"5,078,600",235.45
"Apr 8, 2026",248.63,250.00,240.80,241.74,"4,771,500",239.97
"Apr 7, 2026",245.32,245.76,241.10,245.07,"2,356,100",243.28
"Apr 6, 2026",248.14,248.90,244.74,246.74,"3,376,000",244.94
"Apr 2, 2026",243.00,248.21,241.49,248.16,"3,350,900",246.35
"Apr 1, 2026",242.12,246.26,240.14,243.14,"4,228,700",241.36
"Mar 31, 2026",240.27,242.85,236.38,242.39,"4,750,300",240.62
"Mar 30, 2026",237.80,240.21,236.13,237.25,"3,882,600",235.52
"Mar 27, 2026",238.85,239.44,233.75,236.34,"4,853,700",234.61
"Mar 26, 2026",240.56,246.67,239.80,241.67,"3,606,800",239.90
"Mar 25, 2026",243.60,246.19,238.00,241.39,"4,207,900",239.63
"Mar 24, 2026",246.45,247.11,238.00,240.59,"4,151,500",238.83
"Mar 23, 2026",246.50,251.35,244.71,248.44,"4,972,000",246.62
"Mar 20, 2026",249.00,250.28,241.77,241.77,"11,314,100",240.00
"Mar 19, 2026",249.43,252.19,248.25,250.37,"4,249,500",248.54
"Mar 18, 2026",254.16,258.28,250.16,251.60,"5,177,000",249.76
"Mar 17, 2026",250.51,256.39,250.00,256.11,"5,840,100",254.24
"Mar 16, 2026",247.87,252.20,246.10,249.25,"5,674,200",247.43
"Mar 13, 2026",247.67,249.72,244.71,246.28,"4,338,400",244.48
"Mar 12, 2026",247.10,250.05,245.64,247.68,"5,547,700",245.87
"Mar 11, 2026",250.01,253.72,247.20,248.87,"4,008,500",247.05
"Mar 10, 2026",253.26,253.44,246.55,250.20,"4,938,000",248.37
"Mar 9, 2026",255.38,258.08,251.57,253.33,"6,126,600",251.48
"Mar 6, 2026",256.44,259.40,252.21,258.85,"6,234,400",256.96
"Mar 5, 2026",249.32,260.38,249.00,256.55,"9,894,600",254.68
"Mar 4, 2026",245.75,250.85,244.96,250.06,"6,085,000",248.23
"Mar 3, 2026",236.35,246.09,234.29,245.28,"6,960,400",243.49
"Mar 2, 2026",235.70,240.78,233.78,239.37,"6,220,300",237.62
"Feb 27, 2026",238.07,240.21,234.57,240.21,"6,642,200",238.45
"Feb 26, 2026",239.71,247.49,238.95,242.01,"7,343,100",240.24
"Feb 25, 2026",233.22,239.55,231.22,237.54,"8,569,700",235.80
"Feb 24, 2026",227.80,236.59,223.63,229.32,"13,379,800",227.64
"Feb 23, 2026",254.37,255.19,220.72,223.35,"19,522,900",221.72
"Feb 20, 2026",255.20,259.04,253.80,257.16,"4,708,600",255.28
"Feb 19, 2026",256.00,258.28,253.51,256.28,"4,948,700",254.41
"Feb 18, 2026",258.64,261.11,256.25,260.79,"3,949,200",258.88
"Feb 17, 2026",259.20,260.70,254.65,258.31,"4,929,700",256.42
"Feb 13, 2026",260.00,264.66,256.64,262.38,"6,842,600",260.46
"Feb 12, 2026",270.30,271.30,257.22,259.52,"12,565,400",257.62
"Feb 11, 2026",292.34,293.50,272.36,272.81,"7,628,200",270.82
"Feb 10, 2026",294.99,297.61,290.33,291.76,"3,837,300",289.63
"Feb 9, 2026",295.91,297.72,291.42,296.34,"4,627,800",292.51
"Feb 6, 2026",292.50,299.89,290.66,298.93,"3,744,300",295.06
"Feb 5, 2026",286.10,291.81,285.10,289.89,"5,532,800",286.14
"Feb 4, 2026",291.41,291.41,278.96,289.05,"8,708,000",285.31
"Feb 3, 2026",312.40,312.98,283.85,294.31,"11,466,500",290.50
"Feb 2, 2026",307.51,316.64,306.41,314.73,"4,581,200",310.66
"Jan 30, 2026",307.60,307.78,299.73,306.70,"5,940,700",302.73
"Jan 29, 2026",317.86,319.90,303.47,309.24,"10,124,900",305.24
"Jan 28, 2026",294.17,295.95,291.26,294.16,"5,790,300",290.36
"Jan 27, 2026",297.16,297.33,293.27,293.86,"2,954,900",290.06
"Jan 26, 2026",293.16,296.82,293.14,296.33,"3,726,900",292.50
"Jan 23, 2026",294.07,294.34,289.79,292.44,"3,298,400",288.66
"Jan 22, 2026",299.42,300.93,293.53,294.67,"3,670,200",290.86
"Jan 21, 2026",292.76,297.67,292.51,297.54,"5,185,000",293.69
"Jan 20, 2026",301.35,301.60,290.16,291.35,"7,275,500",287.58
"Jan 16, 2026",301.00,307.45,300.78,305.67,"6,199,600",301.72
"Jan 15, 2026",309.00,311.88,297.04,297.95,"4,932,500",294.10
"Jan 14, 2026",303.50,309.19,301.50,309.03,"3,779,000",305.03
"Jan 13, 2026",311.60,312.81,301.87,303.16,"4,507,800",299.24
"Jan 12, 2026",302.62,312.33,299.96,312.18,"3,895,200",308.14
"Jan 9, 2026",302.61,307.00,302.00,304.22,"2,718,800",300.29
"Jan 8, 2026",295.00,303.67,295.00,302.72,"3,343,300",298.80
"Jan 7, 2026",302.50,304.31,296.35,296.73,"2,833,300",292.89
"Jan 6, 2026",295.00,303.04,294.42,302.47,"4,147,300",298.56
"Jan 5, 2026",295.77,299.19,294.25,294.97,"4,190,000",291.15
"Jan 2, 2026",297.56,297.57,289.00,291.50,"4,662,800",287.73
"Dec 31, 2025",301.76,301.85,295.87,296.21,"3,430,100",292.38
"Dec 30, 2025",306.15,306.24,302.00,302.05,"1,883,700",298.14
"Dec 29, 2025",304.65,310.00,303.75,305.74,"4,664,500",301.79
"Dec 26, 2025",304.69,305.75,303.67,305.09,"2,814,700",301.14
"Dec 24, 2025",303.76,305.15,302.30,304.56,"1,210,600",300.62
"Dec 23, 2025",301.34,305.13,300.65,303.78,"2,923,000",299.85
"Dec 22, 2025",301.03,303.18,298.32,302.79,"2,612,100",298.87
"Dec 19, 2025",300.35,306.86,299.10,300.98,"11,031,000",297.09
"Dec 18, 2025",303.15,304.45,295.70,300.45,"5,411,700",296.56
"Dec 17, 2025",303.79,306.25,303.08,303.32,"3,131,000",299.40
"Dec 16, 2025",307.32,307.38,300.42,303.18,"3,366,900",299.26
"Dec 15, 2025",308.99,311.36,306.35,308.66,"3,566,700",304.67
"Dec 12, 2025",310.57,311.05,303.33,309.24,"2,953,400",305.24
"Dec 11, 2025",312.00,313.44,308.40,310.74,"2,755,700",306.72
"Dec 10, 2025",310.23,314.69,306.65,312.67,"3,411,500",308.63
"Dec 9, 2025",309.63,313.97,308.75,310.48,"2,935,300",306.46
"Dec 8, 2025",309.62,315.35,307.95,309.18,"3,630,200",305.18
"Dec 5, 2025",308.59,311.83,307.18,307.94,"2,344,700",303.96
"Dec 4, 2025",302.88,309.61,302.54,307.99,"2,962,500",304.01
"Dec 3, 2025",302.88,303.97,298.91,302.62,"3,953,400",298.71
"Dec 2, 2025",307.00,310.47,301.57,301.78,"4,261,100",297.88
"Dec 1, 2025",306.51,307.12,302.80,305.67,"3,166,600",301.72
"Nov 28, 2025",304.06,309.18,303.60,308.58,"1,689,000",304.59
"Nov 26, 2025",305.18,306.60,301.64,303.21,"2,196,400",299.29
"Nov 25, 2025",304.13,306.00,297.06,304.48,"2,825,300",300.54
"Nov 24, 2025",299.18,307.18,297.51,304.12,"6,050,600",300.19
"Nov 21, 2025",293.48,300.48,291.89,297.44,"5,710,900",293.59
"Nov 20, 2025",294.64,300.71,290.16,290.40,"5,597,000",286.64
"Nov 19, 2025",290.50,291.11,288.07,288.53,"3,595,900",284.80
"Nov 18, 2025",297.00,297.00,289.92,289.95,"4,861,900",286.20
"Nov 17, 2025",305.59,306.00,296.51,297.17,"3,909,700",293.33
"Nov 14, 2025",300.00,307.72,297.59,305.69,"3,592,500",301.74
"Nov 13, 2025",312.29,314.60,303.68,304.86,"5,310,200",300.92
"Nov 12, 2025",319.89,324.90,314.53,314.98,"6,042,700",310.91
"Nov 11, 2025",309.00,317.91,308.43,313.72,"4,381,900",309.66
"Nov 10, 2025",306.82,309.94,304.23,309.13,"2,975,200",305.13
"Nov 7, 2025",309.68,310.00,302.63,306.38,"5,070,800",300.76
"Nov 6, 2025",306.75,315.44,301.09,312.42,"6,818,500",306.69
"Nov 5, 2025",301.38,307.20,299.71,306.77,"4,650,400",301.14
"Nov 4, 2025",300.00,303.17,296.00,300.85,"5,677,300",295.33
"Nov 3, 2025",308.00,312.14,304.23,304.73,"4,958,000",299.14
"Oct 31, 2025",312.00,313.50,301.63,307.41,"7,697,500",301.77
"Oct 30, 2025",306.65,313.75,305.02,310.06,"4,694,300",304.37
"Oct 29, 2025",312.79,314.33,307.52,308.21,"4,135,900",302.56
"Oct 28, 2025",312.60,319.35,311.41,312.57,"6,044,800",306.84
"Oct 27, 2025",307.80,313.50,302.88,313.09,"9,868,200",307.35
"Oct 24, 2025",283.77,310.75,282.21,307.46,"16,914,200",301.82
"Oct 23, 2025",264.95,285.58,263.56,285.00,"16,676,400",279.77
"Oct 22, 2025",281.99,289.17,281.35,287.51,"10,538,500",282.24
"Oct 21, 2025",283.31,285.31,281.60,282.05,"4,081,000",276.88
"Oct 20, 2025",281.25,285.50,280.96,283.65,"3,494,300",278.45
"Oct 17, 2025",276.15,283.40,275.35,281.28,"5,309,600",276.12
"Oct 16, 2025",281.11,282.56,275.60,275.97,"2,956,900",270.91
"Oct 15, 2025",278.38,285.45,277.00,280.75,"3,346,800",275.60
