Date,Open,High,Low,Close,Volume,Adj Close
"Jun 5, 2026",119.19,121.20,111.56,112.45,"31,294,900",112.45
"Jun 4, 2026",121.94,124.80,119.36,119.36,"28,144,000",119.36
"Jun 3, 2026",127.99,128.08,117.34,117.90,"34,316,400",117.90
"Jun 2, 2026",129.90,132.74,124.12,127.65,"41,371,600",127.65
"Jun 1, 2026",135.77,139.20,131.61,135.86,"68,789,000",135.86
"May 29, 2026",118.48,124.74,116.29,124.37,"68,243,400",124.37
"May 28, 2026",107.00,110.16,104.60,108.73,"39,117,700",108.73
"May 27, 2026",99.21,105.40,98.55,102.12,"28,633,300",102.12
"May 26, 2026",100.56,102.54,98.72,99.92,"23,589,900",99.92
"May 22, 2026",102.18,104.59,99.43,102.13,"23,646,300",102.13
"May 21, 2026",100.99,101.59,98.11,99.69,"26,474,000",99.69
"May 20, 2026",100.75,103.35,97.50,103.30,"30,037,700",103.30
"May 19, 2026",110.14,110.83,100.77,101.83,"55,624,400",101.83
"May 18, 2026",98.86,104.68,97.85,103.42,"51,220,700",103.42
"May 15, 2026",92.09,96.67,91.97,95.07,"34,569,700",95.07
"May 14, 2026",87.32,92.00,85.44,90.50,"25,571,500",90.50
"May 13, 2026",88.58,88.58,86.01,87.05,"22,107,000",87.05
"May 12, 2026",92.47,92.77,88.69,89.00,"22,354,600",89.00
"May 11, 2026",91.04,94.75,90.47,91.49,"21,402,900",91.49
"May 8, 2026",91.13,91.85,88.99,91.18,"24,699,000",91.18
"May 7, 2026",92.17,95.56,91.89,93.59,"27,960,700",93.59
"May 6, 2026",91.60,91.68,88.21,89.05,"23,117,900",89.05
"May 5, 2026",92.25,92.89,89.14,92.01,"22,756,800",92.01
"May 4, 2026",91.27,95.62,91.10,91.97,"21,863,500",91.97
"May 1, 2026",90.93,92.60,87.87,91.16,"22,911,800",91.16
"Apr 30, 2026",87.95,88.71,85.88,88.31,"22,152,200",88.31
"Apr 29, 2026",89.06,89.30,87.10,88.89,"18,646,600",88.89
"Apr 28, 2026",91.10,93.00,90.13,90.49,"20,990,400",90.49
"Apr 27, 2026",89.06,94.03,87.81,90.45,"32,789,100",90.45
"Apr 24, 2026",85.78,90.39,84.93,90.17,"39,011,800",90.17
"Apr 23, 2026",87.25,90.02,83.58,84.78,"84,103,100",84.78
"Apr 22, 2026",101.50,104.31,101.03,103.07,"35,714,800",103.07
"Apr 21, 2026",100.35,104.50,99.06,100.14,"24,147,900",100.14
"Apr 20, 2026",97.44,100.67,96.81,99.72,"20,306,600",99.72
"Apr 17, 2026",97.95,98.82,96.13,96.66,"17,754,600",96.66
"Apr 16, 2026",97.61,99.39,95.37,96.44,"21,971,800",96.44
"Apr 15, 2026",90.20,94.83,89.20,94.19,"25,835,900",94.19
"Apr 14, 2026",90.74,92.40,87.12,87.79,"25,132,700",87.79
"Apr 13, 2026",84.77,89.24,84.18,89.06,"31,675,400",89.06
"Apr 10, 2026",88.91,88.91,81.24,83.00,"58,715,600",83.00
"Apr 9, 2026",96.50,97.16,88.66,89.81,"42,131,500",89.81
"Apr 8, 2026",104.76,105.58,96.96,97.47,"19,796,900",97.47
"Apr 7, 2026",102.77,103.96,99.50,100.55,"12,008,200",100.55
"Apr 6, 2026",102.97,103.33,100.40,102.42,"9,141,300",102.42
"Apr 2, 2026",101.79,103.41,98.46,102.00,"16,629,900",102.00
"Apr 1, 2026",105.23,105.90,102.01,104.04,"12,439,700",104.04
"Mar 31, 2026",105.54,106.58,104.06,104.55,"16,821,300",104.55
"Mar 30, 2026",100.06,105.99,99.50,104.97,"18,685,600",104.97
"Mar 27, 2026",102.64,102.67,98.34,99.41,"18,109,900",99.41
"Mar 26, 2026",102.42,105.84,100.88,103.64,"11,595,300",103.64
"Mar 25, 2026",106.50,106.88,101.14,103.06,"14,728,600",103.06
"Mar 24, 2026",109.14,109.25,104.32,104.65,"17,835,200",104.65
"Mar 23, 2026",110.76,113.25,109.89,110.95,"12,219,100",110.95
"Mar 20, 2026",111.30,112.15,109.12,110.38,"18,863,000",110.38
"Mar 19, 2026",114.18,117.09,111.95,113.27,"11,361,600",113.27
"Mar 18, 2026",115.00,117.44,113.53,113.71,"10,080,100",113.71
"Mar 17, 2026",115.40,118.99,114.20,116.72,"13,368,500",116.72
"Mar 16, 2026",116.90,117.20,113.80,114.88,"12,289,400",114.88
"Mar 13, 2026",112.81,115.91,111.71,113.62,"14,846,400",113.62
"Mar 12, 2026",115.28,117.21,112.42,112.97,"18,372,100",112.97
"Mar 11, 2026",117.40,118.83,113.60,115.63,"14,594,900",115.63
"Mar 10, 2026",120.99,121.43,114.66,116.61,"21,872,600",116.61
"Mar 9, 2026",123.06,126.67,121.29,121.93,"20,324,700",121.93
"Mar 6, 2026",120.50,124.66,120.18,124.34,"25,972,300",124.34
"Mar 5, 2026",114.77,122.08,114.13,120.38,"26,568,000",120.38
"Mar 4, 2026",112.11,115.21,111.50,113.86,"17,432,000",113.86
"Mar 3, 2026",108.00,114.92,107.51,113.19,"17,606,100",113.19
"Mar 2, 2026",105.98,111.08,105.10,109.42,"14,780,500",109.42
"Feb 27, 2026",105.00,108.70,104.00,108.01,"19,085,200",108.01
"Feb 26, 2026",107.45,110.15,106.57,109.30,"26,565,100",109.30
"Feb 25, 2026",101.63,104.73,100.16,104.23,"15,493,100",104.23
"Feb 24, 2026",100.96,105.70,100.51,102.49,"18,461,700",102.49
"Feb 23, 2026",101.94,101.94,99.18,100.80,"24,200,000",100.80
"Feb 20, 2026",106.00,107.80,103.82,104.27,"15,700,300",104.27
"Feb 19, 2026",108.07,109.22,106.19,107.37,"13,224,700",107.37
"Feb 18, 2026",105.93,108.26,103.40,107.81,"18,138,700",107.81
"Feb 17, 2026",109.56,110.85,103.88,105.91,"27,343,000",105.91
"Feb 13, 2026",105.15,107.69,104.59,107.08,"22,771,200",107.08
"Feb 12, 2026",101.92,103.71,99.27,103.29,"27,213,100",103.29
"Feb 11, 2026",105.58,105.94,99.42,100.58,"26,076,000",100.58
"Feb 10, 2026",104.99,108.98,104.90,106.48,"21,869,600",106.48
"Feb 9, 2026",100.00,104.25,98.00,103.87,"23,127,400",103.87
"Feb 6, 2026",101.68,104.00,98.94,100.74,"34,727,000",100.74
"Feb 5, 2026",109.26,112.09,101.73,102.63,"36,178,800",102.63
"Feb 4, 2026",107.19,111.15,105.25,111.07,"36,718,100",111.07
"Feb 3, 2026",115.02,115.89,108.10,109.77,"34,729,600",109.77
"Feb 2, 2026",118.80,121.67,116.35,118.00,"18,889,100",118.00
"Jan 30, 2026",117.54,118.83,115.89,117.01,"28,053,900",117.01
"Jan 29, 2026",118.53,118.96,113.13,116.73,"55,125,100",116.73
"Jan 28, 2026",132.27,133.67,129.14,129.62,"21,254,100",129.62
"Jan 27, 2026",135.83,136.03,130.86,131.80,"11,804,200",131.80
"Jan 26, 2026",134.55,136.63,133.27,136.34,"17,489,700",136.34
"Jan 23, 2026",128.65,133.85,128.23,133.11,"16,605,400",133.11
"Jan 22, 2026",126.00,128.73,125.10,128.56,"12,944,200",128.56
"Jan 21, 2026",128.00,128.01,123.78,125.30,"16,119,600",125.30
"Jan 20, 2026",126.57,128.78,125.03,125.40,"19,712,200",125.40
"Jan 16, 2026",129.70,131.35,126.85,127.31,"20,052,400",127.31
"Jan 15, 2026",135.15,136.24,129.93,131.17,"14,582,800",131.17
"Jan 14, 2026",137.39,138.19,132.61,134.61,"15,646,900",134.61
"Jan 13, 2026",142.14,144.70,137.18,138.19,"12,898,300",138.19
"Jan 12, 2026",141.64,143.77,141.15,142.64,"9,900,000",142.64
"Jan 9, 2026",147.35,147.35,141.43,141.80,"11,845,400",141.80
"Jan 8, 2026",149.94,150.30,146.18,146.19,"7,426,100",146.19
"Jan 7, 2026",148.00,152.11,147.75,150.90,"6,195,600",150.90
"Jan 6, 2026",147.42,149.57,146.70,148.81,"6,428,200",148.81
"Jan 5, 2026",146.51,149.81,145.79,147.60,"9,854,900",147.60
"Jan 2, 2026",153.08,153.20,145.64,147.45,"9,896,600",147.45
"Dec 31, 2025",153.99,154.54,152.68,153.19,"5,256,100",153.19
"Dec 30, 2025",153.85,154.69,153.25,154.23,"5,110,600",154.23
"Dec 29, 2025",153.07,155.69,152.79,154.58,"7,157,700",154.58
"Dec 26, 2025",152.50,154.48,152.21,153.89,"5,450,500",153.89
"Dec 24, 2025",153.50,153.94,152.01,152.59,"3,896,800",152.59
"Dec 23, 2025",155.50,156.09,151.63,154.36,"12,572,500",154.36
"Dec 22, 2025",156.86,157.16,153.15,156.68,"11,120,300",156.68
"Dec 19, 2025",152.97,156.16,152.54,155.31,"25,257,500",155.31
"Dec 18, 2025",156.51,157.78,151.15,153.38,"9,644,000",153.38
"Dec 17, 2025",157.00,161.93,156.29,156.48,"11,774,500",156.48
"Dec 16, 2025",154.89,157.21,153.91,156.22,"16,672,500",156.22
"Dec 15, 2025",159.60,160.68,152.11,153.04,"29,629,000",153.04
"Dec 12, 2025",173.48,174.93,171.58,173.01,"7,495,000",173.01
"Dec 11, 2025",170.60,175.00,170.22,173.50,"7,037,000",173.50
"Dec 10, 2025",170.11,172.33,169.11,170.71,"8,460,500",170.71
"Dec 9, 2025",170.52,172.20,169.80,170.98,"4,894,500",170.98
"Dec 8, 2025",170.85,174.40,170.09,170.70,"7,741,000",170.70
"Dec 5, 2025",168.17,172.30,167.60,170.87,"6,473,000",170.87
"Dec 4, 2025",168.20,169.30,166.14,167.77,"5,549,000",167.77
"Dec 3, 2025",164.40,166.60,162.69,166.58,"4,619,500",166.58
"Dec 2, 2025",165.72,166.69,164.80,164.88,"6,550,500",164.88
"Dec 1, 2025",160.33,165.21,159.80,164.41,"6,934,000",164.41
"Nov 28, 2025",161.60,162.80,161.00,162.48,"4,520,500",162.48
"Nov 26, 2025",163.45,164.40,159.97,160.54,"10,035,500",160.54
"Nov 25, 2025",162.47,166.18,162.20,165.06,"7,280,000",165.06
"Nov 24, 2025",162.68,163.90,160.76,163.17,"8,947,000",163.17
"Nov 21, 2025",160.46,163.92,159.00,162.69,"7,354,000",162.69
"Nov 20, 2025",166.10,166.34,159.46,160.09,"8,095,500",160.09
"Nov 19, 2025",163.33,164.23,161.51,163.29,"9,577,000",163.29
"Nov 18, 2025",165.42,167.00,162.32,163.59,"7,640,500",163.59
"Nov 17, 2025",169.38,170.70,165.64,167.16,"5,701,000",167.16
"Nov 14, 2025",168.40,173.06,167.81,170.09,"5,917,500",170.09
"Nov 13, 2025",170.48,172.60,168.80,169.94,"8,147,000",169.94
"Nov 12, 2025",173.74,174.00,169.83,172.81,"7,603,500",172.81
"Nov 11, 2025",172.69,174.13,171.87,172.13,"5,177,000",172.13
"Nov 10, 2025",172.77,173.72,170.23,173.26,"7,044,500",173.26
"Nov 7, 2025",170.27,172.62,168.11,172.37,"8,162,500",172.37
"Nov 6, 2025",174.95,175.80,170.00,171.75,"10,231,000",171.75
"Nov 5, 2025",178.33,178.52,174.46,175.93,"7,604,000",175.93
"Nov 4, 2025",180.00,181.73,175.31,177.51,"9,724,500",177.51
"Nov 3, 2025",184.43,184.43,177.20,182.77,"8,733,000",182.77
"Oct 31, 2025",188.64,189.53,180.66,183.86,"11,872,000",183.86
"Oct 30, 2025",185.35,192.97,179.39,186.94,"15,203,000",186.94
"Oct 29, 2025",186.91,186.91,182.02,182.34,"13,434,000",182.34
"Oct 28, 2025",189.86,190.20,187.58,187.58,"4,724,500",187.58
"Oct 27, 2025",188.81,190.34,187.40,189.26,"5,735,000",189.26
"Oct 24, 2025",189.15,190.00,185.78,186.03,"5,355,000",186.03
"Oct 23, 2025",186.24,188.92,185.60,187.83,"4,223,500",187.83
"Oct 22, 2025",188.36,189.60,185.58,187.13,"6,073,000",187.13
