Date,Open,High,Low,Close,Volume,Adj Close
"Jun 5, 2026",214.53,214.87,204.33,205.10,"218,529,000",205.10
"Jun 4, 2026",213.91,221.60,210.97,218.66,"169,022,200",218.66
"Jun 3, 2026",221.72,222.82,214.51,214.75,"160,907,000",214.50
"Jun 2, 2026",227.18,232.28,221.35,222.82,"193,362,900",222.56
"Jun 1, 2026",215.73,224.87,215.70,224.36,"212,850,700",224.10
"May 29, 2026",214.58,217.86,211.13,211.14,"289,410,600",210.89
"May 28, 2026",211.28,215.52,211.22,214.25,"143,996,000",214.00
"May 27, 2026",214.12,214.15,208.78,212.60,"167,601,200",212.35
"May 26, 2026",216.54,218.18,212.00,214.86,"187,202,600",214.61
"May 22, 2026",220.90,221.01,214.80,215.33,"169,275,700",215.08
"May 21, 2026",222.29,227.40,217.93,219.51,"203,381,800",219.25
"May 20, 2026",223.18,226.13,220.50,223.47,"184,201,600",223.21
"May 19, 2026",219.62,224.48,217.91,220.61,"140,948,200",220.35
"May 18, 2026",229.87,230.00,218.37,222.32,"146,280,900",222.06
"May 15, 2026",229.76,231.50,224.24,225.32,"180,977,600",225.06
"May 14, 2026",229.85,236.54,229.30,235.74,"180,782,900",235.47
"May 13, 2026",224.93,227.84,221.57,225.83,"150,405,400",225.57
"May 12, 2026",218.55,223.75,214.92,220.78,"159,176,600",220.52
"May 11, 2026",214.04,222.30,213.89,219.44,"160,685,800",219.18
"May 8, 2026",213.03,217.80,212.89,215.20,"136,421,400",214.95
"May 7, 2026",208.34,214.20,206.50,211.50,"168,307,900",211.25
"May 6, 2026",199.89,208.27,198.61,207.83,"188,362,800",207.59
"May 5, 2026",199.30,200.24,196.03,196.50,"113,406,600",196.27
"May 4, 2026",199.50,201.73,194.74,198.48,"125,368,100",198.25
"May 1, 2026",201.28,203.00,197.12,198.45,"128,647,000",198.22
"Apr 30, 2026",209.93,210.30,198.70,199.57,"225,239,200",199.34
"Apr 29, 2026",212.70,212.72,207.58,209.25,"123,711,800",209.01
"Apr 28, 2026",209.49,214.73,208.20,213.17,"180,275,400",212.92
"Apr 27, 2026",209.65,216.83,207.38,216.61,"187,172,400",216.36
"Apr 24, 2026",199.96,210.95,199.81,208.27,"214,134,400",208.03
"Apr 23, 2026",202.46,203.83,197.22,199.64,"113,561,800",199.41
"Apr 22, 2026",200.99,202.50,199.00,202.50,"107,501,000",202.26
"Apr 21, 2026",202.13,202.75,199.00,199.88,"107,945,300",199.65
"Apr 20, 2026",199.98,202.17,197.84,202.06,"119,381,400",201.82
"Apr 17, 2026",199.90,201.70,199.27,201.68,"160,324,400",201.45
"Apr 16, 2026",197.43,199.85,195.81,198.35,"134,012,900",198.12
"Apr 15, 2026",196.54,200.40,195.74,198.87,"185,338,400",198.64
"Apr 14, 2026",190.84,196.51,190.77,196.51,"161,307,000",196.28
"Apr 13, 2026",186.03,189.66,185.74,189.31,"133,648,200",189.09
"Apr 10, 2026",184.31,190.00,184.30,188.63,"160,459,500",188.41
"Apr 9, 2026",181.84,184.08,180.62,183.91,"116,428,500",183.70
"Apr 8, 2026",184.50,185.26,180.30,182.08,"147,732,700",181.87
"Apr 7, 2026",175.73,178.23,173.66,178.10,"132,534,900",177.89
"Apr 6, 2026",177.16,177.79,175.76,177.64,"107,564,300",177.43
"Apr 2, 2026",172.18,177.49,171.37,177.39,"143,143,200",177.18
"Apr 1, 2026",176.00,177.37,174.75,175.75,"168,132,000",175.55
"Mar 31, 2026",166.97,174.62,166.96,174.40,"226,181,300",174.20
"Mar 30, 2026",168.78,169.45,164.27,165.17,"185,627,000",164.98
"Mar 27, 2026",170.00,170.97,167.01,167.52,"196,212,700",167.32
"Mar 26, 2026",176.07,176.51,171.14,171.24,"186,152,200",171.04
"Mar 25, 2026",177.10,181.22,176.85,178.68,"162,602,100",178.47
"Mar 24, 2026",174.83,176.22,173.98,175.20,"147,667,800",175.00
"Mar 23, 2026",177.26,178.37,174.76,175.64,"182,836,300",175.44
"Mar 20, 2026",178.00,178.26,171.72,172.70,"241,323,500",172.50
"Mar 19, 2026",178.01,179.98,175.79,178.56,"170,968,500",178.35
"Mar 18, 2026",182.48,183.38,180.33,180.40,"156,683,100",180.19
"Mar 17, 2026",185.06,185.40,181.68,181.93,"182,497,800",181.72
"Mar 16, 2026",182.97,188.88,181.41,183.22,"217,307,400",183.01
"Mar 13, 2026",184.92,186.09,179.94,180.25,"160,988,400",180.04
"Mar 12, 2026",184.05,184.94,181.75,183.14,"155,762,700",182.93
"Mar 11, 2026",185.91,187.62,184.45,186.03,"145,280,400",185.81
"Mar 10, 2026",182.40,186.44,182.01,184.77,"179,118,500",184.54
"Mar 9, 2026",176.83,182.91,175.56,182.65,"177,213,600",182.43
"Mar 6, 2026",179.84,182.76,176.82,177.82,"189,021,900",177.60
"Mar 5, 2026",181.17,184.06,177.88,183.34,"198,779,700",183.12
"Mar 4, 2026",180.44,184.70,180.06,183.04,"177,731,200",182.82
"Mar 3, 2026",178.49,180.90,176.92,180.05,"178,099,400",179.83
"Mar 2, 2026",175.01,183.46,174.64,182.48,"209,095,300",182.26
"Feb 27, 2026",181.25,182.59,176.38,177.19,"311,636,500",176.97
"Feb 26, 2026",194.27,194.29,184.32,184.89,"360,807,900",184.66
"Feb 25, 2026",194.45,197.63,193.79,195.56,"250,637,100",195.32
"Feb 24, 2026",191.49,193.77,187.40,192.85,"175,123,600",192.62
"Feb 23, 2026",191.40,193.95,189.58,191.55,"171,584,800",191.32
"Feb 20, 2026",186.57,190.33,185.94,189.82,"178,422,300",189.59
"Feb 19, 2026",187.06,188.43,185.66,187.90,"126,554,500",187.67
"Feb 18, 2026",188.75,190.37,186.76,187.98,"164,749,100",187.75
"Feb 17, 2026",181.75,187.15,179.18,184.97,"162,276,900",184.74
"Feb 13, 2026",187.48,187.50,181.59,182.81,"161,888,000",182.59
"Feb 12, 2026",193.03,193.61,186.51,186.94,"189,932,500",186.71
"Feb 11, 2026",192.45,193.26,188.77,190.05,"144,192,700",189.82
"Feb 10, 2026",191.38,192.48,188.12,188.54,"136,764,800",188.31
"Feb 9, 2026",184.26,193.66,183.95,190.04,"196,387,400",189.81
"Feb 6, 2026",176.69,187.00,174.60,185.41,"231,346,200",185.18
"Feb 5, 2026",174.93,176.82,171.03,171.88,"206,312,900",171.67
"Feb 4, 2026",179.46,179.58,171.91,174.19,"207,014,100",173.98
"Feb 3, 2026",186.24,186.27,176.23,180.34,"204,019,600",180.12
"Feb 2, 2026",187.20,190.30,184.88,185.61,"165,794,100",185.38
"Jan 30, 2026",191.21,194.49,189.47,191.13,"179,489,500",190.90
"Jan 29, 2026",191.34,193.48,186.06,192.51,"171,764,400",192.28
"Jan 28, 2026",191.27,192.35,189.84,191.52,"148,552,700",191.29
"Jan 27, 2026",187.24,190.00,185.70,188.52,"143,711,600",188.29
"Jan 26, 2026",187.16,189.12,185.99,186.47,"124,799,600",186.24
"Jan 23, 2026",187.50,189.60,186.82,187.67,"142,748,100",187.44
"Jan 22, 2026",184.75,186.17,183.93,184.84,"139,636,600",184.61
"Jan 21, 2026",179.05,185.38,178.40,183.32,"200,381,000",183.10
"Jan 20, 2026",181.90,182.38,177.61,178.07,"223,345,300",177.85
"Jan 16, 2026",189.08,190.44,186.08,186.23,"187,967,200",186.00
"Jan 15, 2026",186.50,189.70,186.33,187.05,"206,188,600",186.82
"Jan 14, 2026",184.32,184.46,180.80,183.14,"159,586,100",182.92
"Jan 13, 2026",185.00,188.11,183.40,185.81,"160,128,900",185.58
"Jan 12, 2026",183.22,187.12,183.02,184.94,"137,968,500",184.71
"Jan 9, 2026",185.08,186.34,183.67,184.86,"131,327,500",184.63
"Jan 8, 2026",189.11,189.55,183.71,185.04,"172,457,000",184.81
"Jan 7, 2026",188.57,191.37,186.56,189.11,"153,543,200",188.88
"Jan 6, 2026",190.52,192.17,186.82,187.24,"176,862,600",187.01
"Jan 5, 2026",191.76,193.63,186.15,188.12,"183,529,700",187.89
"Jan 2, 2026",189.84,192.93,188.26,188.85,"148,240,500",188.62
"Dec 31, 2025",189.57,190.56,186.49,186.50,"120,100,500",186.27
"Dec 30, 2025",188.24,188.99,186.93,187.54,"97,687,300",187.31
"Dec 29, 2025",187.71,188.76,185.91,188.22,"120,006,100",187.99
"Dec 26, 2025",189.92,192.69,188.00,190.53,"139,740,300",190.30
"Dec 24, 2025",187.94,188.91,186.59,188.61,"65,528,500",188.38
"Dec 23, 2025",182.97,189.33,182.90,189.21,"174,873,600",188.98
"Dec 22, 2025",183.92,184.16,182.35,183.69,"129,064,400",183.47
"Dec 19, 2025",176.67,181.45,176.34,180.99,"324,925,900",180.77
"Dec 18, 2025",174.53,176.15,171.82,174.14,"176,096,000",173.93
"Dec 17, 2025",176.10,176.13,170.31,170.94,"222,775,500",170.73
"Dec 16, 2025",176.26,178.49,174.90,177.72,"148,588,100",177.50
"Dec 15, 2025",177.94,178.42,175.03,176.29,"164,775,600",176.08
"Dec 12, 2025",181.11,182.82,174.62,175.02,"204,274,900",174.81
"Dec 11, 2025",180.28,181.32,176.62,180.93,"182,136,600",180.71
"Dec 10, 2025",184.97,185.48,182.04,183.78,"162,785,400",183.56
"Dec 9, 2025",185.56,185.72,183.32,184.97,"144,719,700",184.74
"Dec 8, 2025",182.64,188.00,182.40,185.55,"204,378,100",185.32
"Dec 5, 2025",183.89,184.66,180.91,182.41,"143,971,100",182.19
"Dec 4, 2025",181.62,184.52,179.96,183.38,"167,364,900",183.16
"Dec 3, 2025",181.08,182.45,179.11,179.59,"165,138,000",179.36
"Dec 2, 2025",181.76,185.66,180.00,181.46,"182,632,200",181.23
"Dec 1, 2025",174.76,180.30,173.68,179.92,"188,131,000",179.69
"Nov 28, 2025",179.01,179.29,176.50,177.00,"121,332,800",176.77
"Nov 26, 2025",181.63,182.91,178.24,180.26,"183,852,000",180.03
"Nov 25, 2025",174.91,178.16,169.55,177.82,"320,600,300",177.59
"Nov 24, 2025",179.49,183.50,176.48,182.55,"256,618,300",182.32
"Nov 21, 2025",181.24,184.56,172.93,178.88,"346,926,200",178.65
"Nov 20, 2025",195.95,196.00,179.85,180.64,"343,504,800",180.41
"Nov 19, 2025",184.79,187.86,182.83,186.52,"247,246,400",186.28
"Nov 18, 2025",183.38,184.80,179.65,181.36,"213,598,900",181.13
"Nov 17, 2025",185.97,189.00,184.32,186.60,"173,628,900",186.36
"Nov 14, 2025",182.86,191.01,180.58,190.17,"186,591,900",189.93
"Nov 13, 2025",191.05,191.44,183.85,186.86,"207,423,100",186.62
"Nov 12, 2025",195.72,195.89,191.13,193.80,"154,935,300",193.55
"Nov 11, 2025",195.16,195.42,191.30,193.16,"176,483,300",192.91
"Nov 10, 2025",195.11,199.94,193.79,199.05,"198,897,100",198.80
"Nov 7, 2025",184.90,188.32,178.91,188.15,"264,942,300",187.91
"Nov 6, 2025",196.42,197.62,186.38,188.08,"223,029,800",187.84
"Nov 5, 2025",198.77,202.92,194.65,195.21,"171,350,300",194.96
