Date,Open,High,Low,Close,Volume,Adj Close
"Jun 18, 2026",50.10,50.22,47.61,48.09,"41,853,700",48.09
"Jun 17, 2026",52.88,53.14,50.13,50.33,"19,772,400",50.33
"Jun 16, 2026",53.85,54.37,53.00,53.07,"15,336,500",53.07
"Jun 15, 2026",55.37,55.66,53.52,53.71,"15,240,800",53.71
"Jun 12, 2026",56.49,56.87,55.69,56.18,"11,980,000",56.18
"Jun 11, 2026",55.74,56.50,54.96,56.00,"10,567,600",56.00
"Jun 10, 2026",55.99,56.77,55.23,55.51,"11,849,100",55.51
"Jun 9, 2026",56.75,56.90,54.45,55.85,"13,093,300",55.85
"Jun 8, 2026",55.58,57.36,55.58,56.55,"14,202,700",56.55
"Jun 5, 2026",57.60,57.92,54.49,54.87,"10,062,100",54.87
"Jun 4, 2026",56.99,58.12,56.10,58.01,"9,985,000",58.01
"Jun 3, 2026",56.00,57.26,55.66,56.85,"11,389,400",56.85
"Jun 2, 2026",54.84,56.75,54.62,56.56,"11,982,700",56.26
"Jun 1, 2026",55.04,55.21,53.97,54.75,"12,977,800",54.46
"May 29, 2026",54.81,55.17,54.36,54.55,"31,216,600",54.27
"May 28, 2026",56.13,56.18,54.32,55.12,"14,097,900",54.83
"May 27, 2026",57.05,57.20,55.66,56.50,"16,202,900",56.21
"May 26, 2026",57.20,58.82,57.04,57.98,"13,452,400",57.68
"May 22, 2026",57.13,57.88,56.34,57.28,"10,203,400",56.98
"May 21, 2026",57.52,57.66,56.61,57.25,"18,027,000",56.95
"May 20, 2026",56.87,57.70,56.60,57.28,"11,128,300",56.98
"May 19, 2026",57.23,57.67,56.42,56.77,"11,605,500",56.47
"May 18, 2026",55.15,57.59,55.11,57.15,"11,461,700",56.85
"May 15, 2026",55.47,55.96,55.23,55.38,"10,566,800",55.09
"May 14, 2026",55.40,55.99,55.28,55.75,"5,192,600",55.46
"May 13, 2026",55.77,55.83,54.66,55.38,"13,672,100",55.09
"May 12, 2026",55.26,56.26,54.72,55.64,"10,046,800",55.35
"May 11, 2026",53.67,55.07,53.64,54.93,"9,513,600",54.64
"May 8, 2026",53.18,53.89,52.73,53.27,"10,534,100",52.99
"May 7, 2026",54.11,54.33,52.80,53.00,"16,615,500",52.72
"May 6, 2026",54.90,56.32,54.37,55.16,"12,937,000",54.87
"May 5, 2026",55.72,56.39,55.45,56.00,"7,547,500",55.71
"May 4, 2026",56.74,56.97,55.61,55.63,"9,888,700",55.34
"May 1, 2026",56.43,57.20,56.00,56.92,"9,711,100",56.62
"Apr 30, 2026",55.25,57.05,55.10,56.88,"13,798,800",56.58
"Apr 29, 2026",56.48,56.88,55.18,55.70,"13,346,400",55.41
"Apr 28, 2026",55.85,56.76,55.41,55.65,"13,619,300",55.36
"Apr 27, 2026",56.12,56.70,55.10,55.23,"17,070,400",54.94
"Apr 24, 2026",54.33,56.90,54.02,56.15,"23,294,100",55.86
"Apr 23, 2026",54.56,55.53,54.44,54.74,"20,598,000",54.45
"Apr 22, 2026",53.50,54.85,53.19,54.35,"14,433,100",54.07
"Apr 21, 2026",52.70,53.73,52.64,52.77,"13,591,200",52.49
"Apr 20, 2026",52.39,53.16,51.26,52.20,"15,347,100",51.93
"Apr 17, 2026",50.80,53.42,50.52,52.66,"20,594,600",52.39
"Apr 16, 2026",52.26,52.94,51.57,51.73,"12,080,400",51.46
"Apr 15, 2026",51.74,52.84,51.65,52.42,"12,535,000",52.15
"Apr 14, 2026",51.30,52.00,50.91,51.49,"11,104,100",51.22
"Apr 13, 2026",52.20,52.75,51.52,51.92,"11,847,000",51.65
"Apr 10, 2026",52.56,53.75,51.68,51.92,"13,219,900",51.65
"Apr 9, 2026",51.70,52.89,51.17,52.54,"16,033,100",52.27
"Apr 8, 2026",50.43,52.31,49.76,51.88,"20,970,100",51.61
"Apr 7, 2026",49.87,50.44,49.20,50.35,"9,928,200",50.09
"Apr 6, 2026",49.40,50.06,49.18,49.78,"7,643,800",49.52
"Apr 2, 2026",50.51,51.10,48.84,49.44,"14,883,800",49.18
"Apr 1, 2026",50.35,51.38,49.54,50.03,"19,574,100",49.77
"Mar 31, 2026",52.22,53.00,51.04,51.39,"22,268,600",51.12
"Mar 30, 2026",54.30,54.80,51.31,51.53,"20,578,800",51.26
"Mar 27, 2026",52.35,53.70,51.90,53.50,"22,048,600",53.22
"Mar 26, 2026",51.55,52.69,51.48,52.31,"16,516,100",52.04
"Mar 25, 2026",50.56,52.55,50.54,51.89,"24,105,700",51.62
"Mar 24, 2026",49.03,51.09,48.84,50.51,"19,715,000",50.25
"Mar 23, 2026",47.51,49.85,47.08,49.25,"25,770,300",48.99
"Mar 20, 2026",48.01,48.48,46.38,46.63,"65,344,800",46.39
"Mar 19, 2026",45.22,47.88,44.70,47.82,"28,158,000",47.57
"Mar 18, 2026",45.89,46.32,45.19,45.32,"13,277,000",45.08
"Mar 17, 2026",45.50,46.64,44.94,46.13,"14,766,200",45.89
"Mar 16, 2026",44.56,45.01,44.30,44.96,"12,648,500",44.73
